condition	time	methane	windspeed	current
OFF	2026-05-03T01:56:07	2.0500001907348633	4.0959375	0.32556250000000003
OFF	2026-05-03T01:56:13	2.0480000972747803	4.095875	0.32525
OFF	2026-05-03T01:56:18	2.0500001907348633	4.0959375	0.3256875
OFF	2026-05-03T01:56:23	2.05400013923645	4.095875	0.3254375
OFF	2026-05-03T01:56:28	2.055000066757202	0.0	0.3255
OFF	2026-05-03T01:56:33	2.059000015258789	4.0959375	0.3254375
OFF	2026-05-03T01:56:38	2.058000087738037	4.0959375	0.3254375
OFF	2026-05-03T01:56:43	2.06000018119812	4.0959375	0.32556250000000003
OFF	2026-05-03T01:56:49	2.06000018119812	4.0959375	0.325375
OFF	2026-05-03T01:56:54	2.055999994277954	4.095875	0.32525
OFF	2026-05-03T01:56:59	2.059000015258789	4.0959375	0.32556250000000003
OFF	2026-05-03T01:57:09	2.06000018119812	4.0959375	0.3255
OFF	2026-05-03T01:57:14	2.055000066757202	0.0	0.325625
OFF	2026-05-03T01:57:19	2.05400013923645	4.0959375	0.32525
OFF	2026-05-03T01:57:30	2.0440001487731934	4.0959375	0.325375
OFF	2026-05-03T01:57:35	2.0470001697540283	0.0	0.325625
OFF	2026-05-03T01:57:40	2.0500001907348633	0.0	0.3255
OFF	2026-05-03T01:57:50	2.0530002117156982	0.0	0.3254375
OFF	2026-05-03T01:57:55	2.0470001697540283	4.0959375	0.32525
OFF	2026-05-03T01:58:00	2.0490000247955322	4.0959375	0.3254375
OFF	2026-05-03T01:58:11	2.0320000648498535	0.0	0.32556250000000003
OFF	2026-05-03T01:58:16	2.0310001373291016	4.095875	0.325375
OFF	2026-05-03T01:58:21	2.0329999923706055	0.0	0.3254375
ON	2026-05-03T01:58:26	2.0340001583099365	4.0959375	0.585375
ON	2026-05-03T01:58:31	2.0360000133514404	4.095875	0.5873125
ON	2026-05-03T01:58:36	2.0280001163482666	4.0959375	0.5909375
ON	2026-05-03T01:58:41	2.0340001583099365	4.0959375	0.5436875
ON	2026-05-03T01:58:47	2.0290000438690186	4.0959375	0.595125
ON	2026-05-03T01:58:52	2.0370001792907715	4.0959375	0.595375
ON	2026-05-03T01:58:57	2.0270001888275146	4.095875	0.574125
ON	2026-05-03T01:59:02	2.0280001163482666	0.0	0.6044375
ON	2026-05-03T01:59:07	2.0250000953674316	0.0	0.6014375
ON	2026-05-03T01:59:12	2.0290000438690186	4.0959375	0.573125
ON	2026-05-03T01:59:17	2.0250000953674316	4.0959375	0.6095625
ON	2026-05-03T01:59:23	2.0270001888275146	4.0959375	0.5954375000000001
ON	2026-05-03T01:59:28	2.0280001163482666	0.0	0.6041875
ON	2026-05-03T01:59:33	2.0300002098083496	4.095875	0.60925
ON	2026-05-03T01:59:38	2.0329999923706055	0.0	0.5920625
ON	2026-05-03T01:59:43	2.0320000648498535	0.0	0.605875
ON	2026-05-03T01:59:48	2.0310001373291016	0.0	0.6070625000000001
ON	2026-05-03T01:59:53	2.0329999923706055	4.0959375	0.586125
ON	2026-05-03T01:59:59	2.0360000133514404	0.0	0.6079375
ON	2026-05-03T02:00:04	2.0400002002716064	0.0	0.6070625000000001
ON	2026-05-03T02:00:09	2.0360000133514404	4.0959375	0.587875
ON	2026-05-03T02:00:14	2.0440001487731934	4.0959375	0.615125
ON	2026-05-03T02:00:19	2.0380001068115234	0.0	0.6073125
ON	2026-05-03T02:00:24	2.0380001068115234	4.095875	0.563375
ON	2026-05-03T02:00:29	2.0360000133514404	4.095875	0.6095625
ON	2026-05-03T02:00:34	2.0390000343322754	4.0959375	0.6083125
ON	2026-05-03T02:00:40	2.0390000343322754	4.0959375	0.608375
ON	2026-05-03T02:00:45	2.0350000858306885	0.0	0.6173125
ON	2026-05-03T02:00:50	2.0320000648498535	0.0	0.609
ON	2026-05-03T02:00:55	2.0380001068115234	4.0959375	0.5806250000000001
ON	2026-05-03T02:01:00	2.0340001583099365	4.0959375	0.612375
ON	2026-05-03T02:01:05	2.0310001373291016	4.0959375	0.6100625000000001
ON	2026-05-03T02:01:10	2.0290000438690186	0.0	0.591875
ON	2026-05-03T02:01:16	2.0280001163482666	6.25e-05	0.6156875
ON	2026-05-03T02:01:21	2.0310001373291016	4.0959375	0.6098125
ON	2026-05-03T02:01:26	2.0310001373291016	4.095875	0.609125
ON	2026-05-03T02:01:31	2.0270001888275146	6.25e-05	0.6145625
ON	2026-05-03T02:01:36	2.0320000648498535	4.0959375	0.555125
ON	2026-05-03T02:01:41	2.0250000953674316	4.0959375	0.613125
ON	2026-05-03T02:01:46	2.0250000953674316	4.095875	0.609625
ON	2026-05-03T02:01:51	2.0240001678466797	0.0	0.6090625000000001
ON	2026-05-03T02:01:57	2.0280001163482666	4.0959375	0.610625
ON	2026-05-03T02:02:02	2.0270001888275146	0.0	0.557125
ON	2026-05-03T02:02:07	2.0270001888275146	4.0959375	0.60925
ON	2026-05-03T02:02:12	2.0250000953674316	0.0	0.6098125
ON	2026-05-03T02:02:17	2.0230000019073486	0.0	0.563375
ON	2026-05-03T02:02:22	2.0220000743865967	4.0959375	0.612
ON	2026-05-03T02:02:27	2.0260000228881836	0.0	0.6145
ON	2026-05-03T02:02:33	2.0260000228881836	4.0959375	0.6100625000000001
ON	2026-05-03T02:02:38	2.0250000953674316	4.0959375	0.605375
